# The daily noon exchange rates for major foreign currencies are published every business day at about 12:30
# p.m. EST. They are obtained from market or official sources around noon and show the rates for the
# various currencies in Canadian dollars converted from US dollars. The rates are nominal quotations -
# neither buying nor selling rates - and are intended for statistical or analytical purposes. Rates
# available from financial institutions will differ.
#
Date (<y>-<m>-<d>), ISO4217, 2014-04-04, 2014-04-07, 2014-04-08, 2014-04-09, 2014-04-10, 2014-04-11, 2014-04-14
U.S. dollar , USD, 1.0978, 1.0971, 1.0922, 1.0903, 1.0912, 1.0960, 1.0970
U.S. dollar (close), USD, 1.0981, 1.0969, 1.0922, 1.0872, 1.0929, 1.0979, 1.0953
US/Canada noon 3-month forward points spread, IEXE0124, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24
US/Canada noon 6-month forward points spread , IEXE0125, 0.48, 0.49, 0.49, 0.48, 0.50, 0.49, 0.49
Argentine peso, ARS, 0.1372, 0.1371, 0.1365, 0.1363, 0.1364, 0.1370, 0.1371
Australian dollar, AUD, 1.0200, 1.0164, 1.0218, 1.0213, 1.0282, 1.0302, 1.0319
Bahamian dollar, BSD, 1.0978, 1.0971, 1.0922, 1.0903, 1.0912, 1.0960, 1.0970
Brazilian real, BRL, 0.4900, 0.4939, 0.4979, 0.4921, 0.4970, 0.4963, 0.4964
CFA franc (African Financial Community), XAF, 0.002293, 0.002299, 0.002298, 0.002296, 0.002311, 0.002322, 0.002312
CFP franc (Pacific Financial Community), XPF, 0.01261, 0.01264, 0.01263, 0.01262, 0.01270, 0.01276, 0.01271
Chilean peso, CLP, 0.001978, 0.001989, 0.002002, 0.001984, 0.002003, 0.001994, 0.001995
Chinese renminbi , CNY, 0.1767, 0.1766, 0.1763, 0.1758, 0.1756, 0.1765, 0.1764
Colombian peso, COP, 0.000563, 0.000567, 0.000567, 0.000564, 0.000568, 0.000568, 0.000569
Croatian kuna, HRK, 0.1975, 0.1976, 0.1974, 0.1974, 0.1987, 0.2004, 0.1989
Czech Republic koruna, CZK, 0.05482, 0.05503, 0.05495, 0.05495, 0.05523, 0.05546, 0.05521
Danish krone, DKK, 0.2015, 0.2020, 0.2019, 0.2018, 0.2030, 0.2040, 0.2031
East Caribbean dollar, XCD, 0.4190, 0.4063, 0.4060, 0.4053, 0.4057, 0.4074, 0.4078
European Euro , EUR, 1.5043, 1.5080, 1.5075, 1.5064, 1.5158, 1.5232, 1.5165
Fiji dollar, FJD, 0.5942, 0.5959, 0.5931, 0.5955, 0.5974, 0.6004, 0.5999
Ghanaian cedi , GHS, 0.4072, 0.4012, 0.4015, 0.3929, 0.3939, 0.3950, 0.3939
Guatemalan quetzal, GTQ, 0.1391, 0.1397, 0.1385, 0.1383, 0.1383, 0.1389, 0.1391
Honduran lempira, HNL, 0.05712, 0.05708, 0.05689, 0.05688, 0.05698, 0.05726, 0.05734
Hong Kong dollar , HKD, 0.141528, 0.141465, 0.140845, 0.140622, 0.140742, 0.141371, 0.141487
Hungarian forint, HUF, 0.004922, 0.004917, 0.004944, 0.004923, 0.004970, 0.004974, 0.004941
Icelandic krona, ISK, 0.009688, 0.009734, 0.009730, 0.009709, 0.009773, 0.009820, 0.009780
Indian rupee, INR, 0.01827, 0.01825, 0.01818, 0.01813, 0.01816, 0.01821, 0.01823
Indonesian rupiah, IDR, 0.000097, 0.000097, 0.000097, 0.000097, 0.000096, 0.000096, 0.000096
Israeli new shekel, ILS, 0.3153, 0.3147, 0.3140, 0.3133, 0.3149, 0.3165, 0.3164
Jamaican dollar, JMD, 0.01004, 0.009977, 0.009986, 0.009973, 0.009972, 0.01002, 0.01002
Japanese yen , JPY, 0.01062, 0.01065, 0.01070, 0.01070, 0.01076, 0.01079, 0.01077
Malaysian ringgit, MYR, 0.3347, 0.3353, 0.3371, 0.3378, 0.3385, 0.3386, 0.3375
Mexican peso , MXN, 0.08427, 0.08433, 0.08434, 0.08353, 0.08363, 0.08384, 0.08405
Moroccan dirham, MAD, 0.1342, 0.1343, 0.1343, 0.1341, 0.1349, 0.1355, 0.1348
Myanmar (Burma) kyat, MMK, 0.00114, 0.00114, 0.00114, 0.00113, 0.00113, 0.00114, 0.00114
Neth. Antilles florin, ANG, 0.6112, 0.6129, 0.6102, 0.6091, 0.6096, 0.6123, 0.6163
New Zealand dollar, NZD, 0.9423, 0.9432, 0.9470, 0.9441, 0.9502, 0.9518, 0.9507
Norwegian krone, NOK, 0.1830, 0.1829, 0.1830, 0.1832, 0.1846, 0.1849, 0.1840
Pakistan rupee, PKR, 0.01118, 0.01117, 0.01113, 0.01114, 0.01122, 0.01137, 0.01142
